Model,Support,Variantes,,
Galaxy A50s,Yes,"SM-A507FN, SM-A5070",,
Galaxy A60,Yes,"SM-A6060, SM-A606Y",,
Galaxy A70,Yes,"SM-A705FN, SM-A705U, SM-A705YN, SM-A705W, SM-A705GM, SM-A7050, SM-A705F, SM-A705MN",,
Galaxy A70s,Yes,"SM-A7070, SM-A707F",,
Galaxy A80,Yes,"SM-A805N, SM-A8050, SM-A805F",,
Galaxy Haechi,Yes,SM-G889G,,
Galaxy M10s,Yes,SM-M107F,,
Galaxy Tab A 101 2019,Yes,"SM-T510, SM-T515, SM-T517, SM-T515N, SM-T517P",,
Galaxy Tab A 8 Plus 2019,Yes,SM-P200,,
Galaxy Tab A 84 2020,Yes,SM-T307U,,
Galaxy Tab A Plus 8 2019,Yes,SM-P205,,
Galaxy Tab S5e,Yes,"SM-T725N, SM-T727A, SM-T727, SM-T720, SM-T725, SM-T725C, SM-T727V, SM-T727U, SM-T727R4",,
Galaxy Tab S7 FE,Yes,SM-T730,,
Galaxy A01,No,"SM-S111DL, SM-A015V, SM-A015U1, SM-A015U, SM-A015T1, SM-A015AZ, SM-A015A, SM-A015F, SM-A015G, SM-A015M",,
Galaxy A02,No,"SM-M022G, SM-M022M, SM-A022G, SM-M022F, SM-A022F, SM-A022M",,
Galaxy A02s,No,"SM-A025M, SM-M025F, SM-A025F, SM-A025G, SM-E025F, SM-A025U1, SM-A025V, SM-A025AZ, SM-A025U, SM-A025A, SM-S124DL",,
Galaxy A03,No,"SM-A035F, SM-A035M, SM-A035G",,
Galaxy A03s,No,"SM-A037F, SM-A037M, SM-A037G, SM-A037U, SM-A037U1, SM-A037W, SM-S134DL, SM-S135DL",,
Galaxy A04,No,"SM-A045M, SM-A045F",,
Galaxy A04e,No,"SM-A042M, SM-A042F",,
Galaxy A05,No,"SM-A055M, SM-A055F",,
Galaxy A05s,No,"SM-A057F, SM-A057G, SM-A057M",,
Galaxy A10s,No,"SM-A107F, SM-A107M, SM-M017F",,
Galaxy A11,No,"SM-A115M, SM-A115F, SM-A115W, SM-A115AP, SM-A115A, SM-A115AZ, SM-A115U1, SM-A115U, SM-S115DL",,
Galaxy A14,No,"SM-A145M, SM-A145F, SM-A145P, SM-A145R",,
Galaxy A14 5G,No,"SM-A146W, SM-A146U, SM-A146U1, SM-A146M, SM-A146B, SM-A146P, SM-S146VL",,
Galaxy A20s,No,"SM-A2070, SM-A207M, SM-A207F",,
Galaxy A21,No,"SM-A215W, SM-S215DL, SM-A215U1, SM-A215U",,
Galaxy A22 5G,No,"SM-A226B, SM-A226L, SM-A226BR",,
Galaxy A6s,No,SM-G6200,,
Galaxy F04,No,SM-E045F,,
Galaxy F42 5G,No,"SM-E426S, SM-E426B",,
Galaxy F52 5G,No,SM-E5260,,
Galaxy Haechi,Yes,SM-G889F,,
Galaxy J1 Mini Prime,No,SM-J106F,,
Galaxy J2 2018,No,SM-J250N,,
Galaxy J3 2016,No,SM-J320F,,
Galaxy M01,No,"SM-M015G, SM-M015F",,
Galaxy M04,No,SM-M045F,,
Galaxy M10,No,"SM-M105F, SM-M105G, SM-M105M, SM-M105Y",,
Galaxy M11,No,"SM-M115M, SM-M115F",,
Galaxy M14,No,SM-M145F,,
Galaxy M20,No,"SM-M205F, SM-M205FN, SM-M205G, SM-M205M, SM-M205N",,
Galaxy M21,No,SM-M215F,,
Galaxy M21 2021,No,SM-M215G,,
Galaxy M30,No,"SM-M305F, SM-M305M",,
Galaxy M30s,No,"SM-M3070, SM-M307F, SM-M307FN",,
Galaxy M31,No,"SM-M315F, SM-F415F",,
Galaxy M40,No,SM-M405F,,
Galaxy On5 2015,No,SM-G550FY,,
Galaxy Tab A 7 2016,No,SM-T285,,
Galaxy Tab A8 2019,No,"SM-T295N, SM-T290, SM-T295, SM-T295C, SM-T297",,
Galaxy XCover FieldPro,Yes,SM-G889YB,,
Gear 360 2017,Yes,SM-R210,,
Gear 360 Pro,Yes,SM-R260,,
Gear Fit2 Pro,Yes,SM-R365,,
Watch4 40mm,No,"SM-R860, SM-R865F, SM-R865U, SM-R865N",,
Watch4 44mm,No,"SM-R870, SM-R875F, SM-R875N, SM-R875U",,
